Model,Energy MAE,Energy MAPE,Energy RMSE,Energy R²,Time MAE,Time MAPE,Time RMSE,Time R²
GRU + XGBoost,14.099248932045018,112.35660740413861,16.956651417182208,0.39623924678336764,0.6301573146149075,47.131751659872165,0.7691945225529667,0.4484624463061314
ANN + GRU,17.53211590550472,161.67632487067172,21.571611658222658,0.022875549466895517,0.8638843915370509,66.0135020820468,1.035180208973171,0.0010709494577896272
ANN + LSTM,18.265392241960907,173.10386965515613,21.823528132136122,-7.971785545413113e-05,0.8829624151678898,71.27964304531358,1.060446236818799,-0.048286597050898106
GRU + LSTM,18.607511741533,173.00371978138108,21.865458071489513,-0.0039263521164796256,0.9092751629326566,56.71883367943115,1.0929668912151569,-0.11356798133822021
CNN + GRU,18.676188840052674,175.517881395643,21.99767306824216,-0.016104045726529348,0.881104956958417,65.54173166846905,1.0353522003275168,0.0007389851652537249
CNN + LSTM,18.733682645005928,181.684125945743,22.10130423479832,-0.02570034092046858,0.8922863881888172,71.38490941537884,1.0520275688852385,-0.03170839476401022
